Código;Município;escola1;Numero_escolas_trabalha;Escola_resp_Quest;Tipo_escola;Niveis_escola;Idade;Sexo;Formação;Área_Ed_Inf;Área_EF_finais;Área_EF_iniciais;Área_Ens_Médio;Área_Ens_Téc;Contrato;Outro_qual;Tempo_Escola;Tempo_profissão;Hrs_semanais;Numero_professores;Supervisiona;Licença_2semanas;Porquê_A;Licença_ano;Quantotempo;Porquê_B;trab1;trab2;trab3;trab4;trab5;trab6;trab7;trab8;trab9;trab10;trab11;trab12;trab13;trab14;trab15;trab16;trab17;trab18;trab19;trab20;trab21;trab22;trab23;trab24;trab25;trab26;trab27;trab28;trab29;trab30;trab31;trab32;atitrab1;atitrab2;atitrab3;atitrab4;atitrab5;atitrab6;atitrab7;atitrab8;atitrab9;atitrab10;atitrab11;atitrab12;atitrab13;atitrab14;atitrab15;atitrab16;atitrab17;atitrab18;atitrab19;atitrab20;be1;be2;be3;be4;be5;be6;be7;be8;be9;be10;be11;be12;be13;be14;be15;be16;be17;be18;be19;bes1;bes2;bes3;bes4;bes5;saude1;saude2;saude3;saude4;MPS;IPPS;IOPS;ISP;CAFC;VSP;ARE;DED;ARS;AED;Engagement;Exaustao;Cinismo;SCV;Saude
ADAR752;Chapada;E.M.E.F. Érico Veríssimo;1;E.M.E.F. Érico Veríssimo;1;2;50;2;2;0;0;1;0;0;1;;16,000000000000000;23,000000000000000;20,000000000000000;36;1;1;;2;15;Inflamação na garganta.;7;7;7;7;7;7;7;7;7;7;6;7;6;5;5;6;5;4;7;7;7;7;7;7;1;1;1;7;6;7;6;7;5;1;3;4;5;1;1;5;5;5;1;5;5;5;3;5;5;1;2;5;5;5;5;5;5;5;5;5;6;6;5;5;5;5;1;5;6;0;0;6;4;4;5;2;4;4;4;4;6,92;5,33;5,00;7,00;6,50;6,67;5,00;2,60;2,00;4,80;5,11;5,20;2,40;4,20;4,00
ALNA981;Chapada;E.M.E.F. Érico Veríssimo;2;E.M.E.F. Érico Veríssimo;1;2;47;2;2;0;1;1;0;0;1;;16,000000000000000;31,000000000000000;40,000000000000000;36;2;1;;1;;;7;7;7;7;6;6;7;6;6;7;6;6;7;7;7;6;6;6;6;6;6;6;6;6;1;1;1;6;6;6;5;5;5;3;4;4;4;2;2;5;5;2;3;4;5;3;3;4;4;2;3;4;5;5;5;5;5;6;5;6;5;1;4;1;1;1;0;0;6;1;1;5;2;4;4;2;2;2;3;3;6,50;7,00;6,00;6,00;6,00;5,33;4,60;2,40;3,00;4,20;5,22;1,60;1,60;3,40;2,50
DIJO474;Chapada;E.M.E.F. Érico Veríssimo;1;E.M.E.F. Érico Veríssimo;1;2;31;2;1;0;1;1;0;0;1;;2,000000000000000;9,000000000000000;40,000000000000000;36;2;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;7;7;7;7;7;7;5;5;5;1;1;1;7;7;5;5;5;5;3;5;4;5;5;5;5;5;5;5;5;5;5;4;4;3;3;4;5;6;6;6;6;6;6;6;6;5;1;1;0;0;0;0;0;0;0;0;6;6;7;7;6;5;5;5;5;7,00;6,33;7,00;6,00;7,00;5,00;4,60;4,20;4,60;4,60;5,89;0,40;0,00;6,40;5,00
EUOS574;Chapada;E.M.E.I. Arco Íris;1;E.M.E.I. Arco Íris;1;1;84;2;1;1;0;0;0;0;1;;#NULO!;10,000000000000000;#NULO!;#NULO!;2;1;;1;;;7;7;7;7;7;7;7;4;7;7;7;7;7;4;5;3;3;3;7;6;6;4;6;5;2;5;5;7;7;5;5;5;5;3;5;5;5;3;5;4;5;5;3;4;5;4;4;4;3;3;5;3;6;6;6;6;6;6;6;6;6;4;4;1;0;0;0;0;0;0;0;7;7;7;7;7;5;5;5;5;6,75;5,33;3,00;5,67;7,00;5,00;4,60;3,60;4,40;4,00;6,00;1,80;0,00;7,00;5,00
GEOD375;Chapada;E.M.E.F. Érico Veríssimo;1;E.M.E.F. Érico Veríssimo;1;2;44;2;1;0;0;1;0;0;1;;4,000000000000000;23,000000000000000;20,000000000000000;36;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;6;6;5;5;5;5;6;6;6;6;6;6;2;2;1;7;6;6;5;5;5;3;5;5;4;4;1;4;5;4;1;4;5;4;3;3;3;2;5;4;5;5;5;5;5;5;5;5;5;1;5;2;#NULO!;1;0;0;0;0;0;6;5;5;5;7;4;3;4;4;7,00;5,67;5,00;6,00;6,50;5,33;4,40;3,40;3,00;4,00;5,00;2,25;0,00;5,60;3,75
GUBR333;Chapada;E.M.E.F. Érico Veríssimo;2;E.M.E.F. Érico Veríssimo;1;2;47;2;1;0;1;0;0;0;1;;15,000000000000000;21,000000000000000;16,000000000000000;36;1;1;;1;;;6;6;6;6;6;6;6;6;6;6;5;5;5;6;5;7;6;6;6;5;5;5;5;5;2;2;2;6;5;5;5;5;4;4;4;2;2;3;1;3;3;1;1;1;4;4;2;2;2;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;5;5;5;5;5;6;5;5;4;3;3;4;5,83;5,33;6,33;5,17;5,50;5,00;3,00;3,00;2,20;2,20;5,00;5,00;4,00;5,20;3,50
HEAL058;Chapada;E.M.E.F. Érico Veríssimo;2;E.M.E.F. Érico Veríssimo;1;2;44;2;2;0;1;0;0;0;1;;6,000000000000000;21,000000000000000;17,000000000000000;36;1;1;;1;;;6;5;5;5;5;5;6;5;6;6;6;6;6;5;4;6;6;6;6;6;6;5;5;5;2;2;2;6;6;6;6;6;5;3;5;4;5;3;3;4;5;3;4;4;4;4;3;3;2;2;4;4;5;6;6;6;6;5;6;6;6;5;6;4;1;4;0;0;0;0;0;6;6;6;6;6;2;3;3;3;5,50;5,00;6,00;5,50;6,00;6,00;4,20;3,00;3,80;3,80;5,78;4,00;0,00;6,00;2,75
HEIV518;Chapada;E.M.E.F. Érico Veríssimo;2;E.M.E.F. Érico Veríssimo;1;2;48;2;2;0;0;1;0;0;1;;14,000000000000000;23,000000000000000;20,000000000000000;36;1;1;;1;;;7;7;7;7;6;7;6;6;7;7;7;6;7;7;6;6;4;4;5;5;5;5;5;5;3;2;2;6;6;3;3;4;4;2;3;4;4;2;2;4;5;2;2;3;4;2;1;5;2;2;2;3;1;1;5;3;3;6;3;1;5;6;5;5;4;6;1;3;0;1;2;5;3;5;6;2;2;2;2;2;6,67;6,67;4,67;5,00;6,00;3,33;3,80;2,00;2,00;3,80;3,11;5,20;1,40;4,20;2,00
LODA732;Chapada;E.M.E.F. Érico Veríssimo;1;E.M.E.F. Érico Veríssimo;1;2;42;2;2;0;1;0;0;0;1;;11,000000000000000;15,000000000000000;40,000000000000000;36;1;1;;1;;;6;5;6;5;4;4;3;6;6;6;5;5;6;6;6;6;6;6;6;6;6;6;6;5;2;2;2;5;5;5;6;6;5;4;4;3;4;4;4;3;4;4;4;4;5;4;3;3;3;4;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;4;4;5;3;6;6;7;7;5;4;4;4;4;5,08;6,00;6,00;5,83;5,00;5,67;4,20;4,00;3,60;3,40;5,00;5,00;3,40;6,20;4,00
LOJO096;Chapada;E.M.E.F. Érico Veríssimo;2;E.M.E.F. Érico Veríssimo;1;2;47;2;2;0;0;1;0;0;1;;28,000000000000000;28,000000000000000;40,000000000000000;36;1;1;;1;;;7;7;7;7;7;7;7;7;7;6;6;6;7;7;6;6;7;7;6;6;6;6;6;6;2;4;3;7;6;6;6;6;5;3;5;3;4;3;1;3;4;2;3;4;4;3;1;3;3;3;4;4;5;5;5;6;5;5;6;6;6;4;3;0;0;1;0;0;1;0;0;6;6;6;6;6;4;5;5;4;6,75;6,67;6,67;6,00;6,50;6,00;4,00;2,80;2,80;3,40;5,44;1,60;0,20;6,00;4,50
