municipio,numero_escolas_trabalha,tipo_escola,niveis_escola,idade,sexo,formacao,area_ed_inf,area_ef_finais,area_ef_iniciais,area_ens_medio,area_ens_tec,contrato,tempo_escola,tempo_profissao,hrs_semanais,numero_professores,supervisiona,licenca_2semanas,licenca_ano,quantotempo,scv,saude,exaustao
Erechim,1,1,2,54,2,2,0,1,0,0,0,1,11,31,20,137,2,1,1,,7,5,0
Ibirubá,1,1,2,33,2,2,0,0,1,0,0,1,3,9,22,49,1,1,2,90,7,5,0
Erechim,1,1,2,29,2,1,0,1,0,0,0,1,5,5,20,47,1,1,1,,5,5,0
Espumoso,1,1,2,48,2,2,0,1,0,0,0,1,7,25,20,36,1,1,1,,7,5,0
Estação,1,1,1,33,2,3,1,0,0,0,0,1,2,6,44,29,2,1,1,,7,5,0
Erechim,1,1,1,42,2,1,1,0,0,0,0,1,5,11,40,28,2,1,1,,5,5,0
Sananduva,1,1,2,38,2,2,0,1,1,0,0,1,7,20,40,27,1,1,1,,7,5,0
Estação,1,1,3,46,1,2,0,0,0,1,0,1,20,,40,22,1,1,1,,7,5,0
Espumoso,1,1,2,53,2,1,0,0,1,0,0,3,2,34,20,21,1,1,1,,7,5,0
Espumoso,2,1,2,35,2,2,0,0,1,0,0,3,"0,3",8,20,21,1,1,1,,7,5,0
Espumoso,1,1,2,51,2,2,0,0,1,0,0,3,"0,5",5,20,21,1,1,1,,7,5,0
Espumoso,1,1,2,55,2,2,0,0,1,0,0,1,27,32,20,17,1,1,2,7,7,5,0
Espumoso,1,1,1,,2,2,1,0,0,0,0,3,,,,17,1,1,1,,6,5,0
Espumoso,2,1,1,38,2,2,1,0,0,1,0,1,0,18,20,15,2,1,1,,7,5,0
Ibirubá,1,1,2,51,2,2,1,0,0,0,0,1,17,25,20,12,1,1,1,,7,5,0
Tio Hugo,1,1,2,56,2,6,1,0,1,0,0,1,30,30,,9,2,1,1,,7,5,0
Getúlio Vargas,1,1,1,55,2,2,1,0,0,0,0,1,3,20,8,3,1,1,1,,7,5,0
Passo Fundo,1,3,3,51,1,2,0,0,0,1,0,1,22,25,4,120,1,1,1,,6,4,0
Marau,2,1,2,40,1,3,0,1,0,1,0,2,1,5,20,58,1,1,1,,7,4,0
Marau,1,1,2,22,2,5,1,1,1,0,0,2,,,40,42,1,1,,,5,4,0
Passo Fundo,1,1,2,57,2,2,0,1,0,0,0,1,3,30,20,39,1,1,1,,6,4,0
Passo Fundo,1,1,2,62,2,1,0,0,1,0,0,1,23,34,20,35,1,1,1,,6,4,0
Getúlio Vargas,1,1,2,50,2,1,,,,,0,1,12,,,25,2,1,1,,6,4,0
Tapera,2,1,2,41,2,2,0,1,0,1,0,1,4,12,22,21,1,1,1,,3,4,0
Passo Fundo,1,1,1,61,2,1,1,0,0,0,0,3,"0,08",30,30,20,1,1,2,5,7,4,0
Tio Hugo,2,1,2,50,2,2,0,0,1,1,0,1,1,28,20,17,1,1,2,45,6,4,0
Ibirubá,1,1,2,57,2,2,0,1,0,0,0,1,5,40,20,16,1,1,2,30,6,4,0
Marau,1,1,2,54,1,1,0,1,0,0,0,1,"0,2",,1,16,2,1,1,,5,4,0
Passo Fundo,1,1,1,40,2,2,1,0,0,0,0,1,"1,2",3,6,14,1,1,1,,7,4,0
Passo Fundo,1,1,2,43,2,1,1,0,0,0,0,1,5,10,30,13,1,1,2,60,3,4,0
Passo Fundo,1,1,1,32,2,1,1,0,0,0,0,1,"0,08",5,30,10,1,1,1,,6,4,0
Tio Hugo,1,1,2,21,2,2,1,0,0,0,0,3,"0,4","0,4",20,2,1,1,1,,6,4,0
Ibirubá,1,1,2,55,2,2,1,0,0,0,0,1,13,39,20,41,1,1,2,28,4,3,0
Tapejara,1,1,2,48,2,2,0,1,1,0,0,1,20,35,30,37,1,1,2,30,7,3,0
Getúlio Vargas,1,1,2,51,2,2,0,0,1,0,0,2,7,31,20,25,1,1,1,,4,3,0
Selbach,1,1,2,36,2,2,0,0,1,0,0,3,1,,22,17,1,1,1,,7,3,0
Passo Fundo,1,1,1,35,2,2,1,0,0,0,0,1,4,14,30,4,1,1,2,2,6,3,0
Marau,1,1,2,57,2,,0,0,1,0,0,1,18,37,40,16,1,1,1,,6,2,0
Sananduva,1,1,1,52,2,2,1,0,0,0,0,1,8,8,16,26,1,1,2,15,7,1,0
Passo Fundo,1,3,3,47,2,2,0,0,0,1,0,1,4,32,4,120,1,1,1,,7,5,"0,2"
Passo Fundo,1,1,2,50,2,2,0,0,1,0,0,1,13,25,8,32,1,1,1,,5,5,"0,2"
Erechim,1,1,5,48,2,2,0,0,0,0,0,1,15,16,40,29,2,1,1,,7,5,"0,2"
Espumoso,2,1,2,31,2,6,0,0,1,0,0,1,8,8,20,21,1,1,1,,7,5,"0,2"
Marau,1,1,1,40,2,2,1,0,1,0,0,1,12,9,40,20,2,1,1,,7,5,"0,2"
Selbach,1,1,2,33,2,1,0,0,1,0,0,3,1,6,22,17,1,1,1,,6,5,"0,2"
Passo Fundo,1,1,1,44,2,1,1,0,0,0,0,1,5,15,44,13,1,1,1,,3,5,"0,2"
Erechim,2,1,1,62,2,3,1,0,0,0,0,1,4,32,40,9,1,1,1,,7,5,"0,2"
Tio Hugo,2,1,2,23,2,2,1,0,1,0,0,1,"0,4","3,5",22,9,1,1,1,,7,5,"0,2"
Passo Fundo,1,1,1,48,2,2,1,0,0,0,0,1,10,17,40,6,2,1,1,,6,5,"0,2"
Ibirubá,1,1,1,31,2,7,1,0,0,0,0,2,"0,5",5,40,5,1,2,1,,7,5,"0,2"
Ibirubá,1,1,1,37,2,2,1,0,0,0,0,4,"0,5",12,,4,2,1,1,,7,5,"0,2"
Passo Fundo,1,3,3,48,1,1,0,0,0,1,0,1,8,19,2,120,2,1,1,,7,4,"0,2"
Passo Fundo,1,3,5,30,2,1,0,0,1,0,0,,2,,22,67,1,1,1,,6,4,"0,2"
Passo Fundo,1,3,4,36,2,3,0,1,1,0,0,2,14,16,40,64,1,1,1,,6,4,"0,2"
Passo Fundo,1,3,4,38,2,2,0,0,0,1,0,1,7,10,4,64,1,1,1,,6,4,"0,2"
Passo Fundo,1,3,4,39,2,1,0,1,0,1,0,2,8,8,20,64,2,1,1,,6,4,"0,2"
Erechim,1,1,2,47,2,2,0,0,1,0,0,1,19,27,20,60,1,1,1,,6,4,"0,2"
Tapejara,2,1,2,46,1,2,0,1,0,1,0,1,19,19,40,48,1,1,1,,7,4,"0,2"
Ibirubá,1,1,4,42,2,2,0,0,0,1,0,1,24,21,20,36,2,1,1,,7,4,"0,2"
Chapada,1,1,2,41,2,2,0,0,1,0,0,1,,18,20,36,1,1,1,,7,4,"0,2"
Espumoso,1,1,2,65,2,1,0,1,0,0,0,1,10,16,20,30,1,1,1,,6,4,"0,2"
Erechim,1,1,1,42,2,2,1,0,0,0,0,1,4,4,40,30,2,1,1,,6,4,"0,2"
Estação,1,1,1,27,2,2,1,0,0,0,0,1,3,5,40,29,1,1,2,13,7,4,"0,2"
Passo Fundo,2,3,2,59,2,2,0,1,0,0,0,1,"0,5",31,10,27,1,1,1,,6,4,"0,2"
Ibirubá,1,2,2,,2,2,0,1,0,0,0,1,25,30,20,23,1,1,1,,7,4,"0,2"
Erechim,1,1,1,51,2,2,1,0,0,0,0,1,4,31,20,22,1,1,1,,7,4,"0,2"
Espumoso,1,1,2,36,2,2,1,1,1,0,0,3,1,16,20,21,1,1,1,,5,4,"0,2"
Espumoso,1,1,2,38,2,1,0,1,0,0,0,3,"0,5",3,12,21,1,1,1,,7,4,"0,2"
Passo Fundo,2,1,2,52,1,2,0,1,0,0,0,1,12,25,16,20,1,1,1,,5,4,"0,2"
Passo Fundo,1,1,2,43,2,2,0,0,1,0,0,1,13,20,20,18,1,1,1,,6,4,"0,2"
Espumoso,1,1,1,30,2,1,1,0,0,0,0,3,1,7,20,17,2,1,1,,6,4,"0,2"
Sananduva,1,1,2,35,2,7,0,1,0,0,0,1,9,13,20,13,1,1,1,,5,4,"0,2"
Ibirubá,1,1,2,40,2,2,0,0,0,0,0,3,"0,6",20,,12,2,1,1,,7,4,"0,2"
Ibirubá,1,1,1,53,2,2,1,0,0,0,0,1,"0,1",9,44,2,2,1,1,,7,4,"0,2"
Erechim,1,1,2,47,2,2,0,0,1,0,0,1,21,24,20,60,1,1,1,,7,3,"0,2"
Sananduva,1,1,2,37,2,2,1,0,1,0,0,1,"1,5",8,40,27,2,1,1,,2,3,"0,2"
Passo Fundo,1,1,2,,2,2,0,1,0,0,0,1,12,20,8,15,2,1,1,,7,3,"0,2"
Passo Fundo,1,1,1,49,2,2,1,0,0,0,0,1,2,13,30,10,1,1,2,15,6,3,"0,2"
Tapejara,1,1,1,65,2,2,1,0,0,0,0,1,23,,30,20,1,1,1,,6,2,"0,2"
Ibirubá,1,1,2,66,2,2,0,1,0,0,0,1,4,46,20,16,1,2,2,2,6,2,"0,2"
Marau,1,1,2,34,2,3,0,0,1,0,0,1,1,15,40,47,1,1,1,,7,4,"0,25"
Marau,1,1,2,50,2,1,0,0,1,0,0,1,15,30,20,16,1,1,1,,6,4,"0,25"
Erechim,1,1,2,63,2,1,0,0,1,0,0,1,11,30,20,137,1,1,1,,7,5,"0,4"
Erechim,1,1,2,53,2,1,1,0,0,0,0,1,6,30,40,71,2,1,1,,7,5,"0,4"
Passo Fundo,1,3,5,36,2,2,1,0,0,0,0,,8,,25,67,1,1,1,,7,5,"0,4"
Sananduva,2,2,3,35,2,2,0,1,0,1,0,1,4,14,50,57,1,1,2,120,7,5,"0,4"
Erechim,1,1,2,27,2,1,0,0,1,0,0,1,"3,7",5,20,52,1,1,1,,6,5,"0,4"
Ibirubá,1,1,2,54,2,2,0,1,0,0,0,1,4,10,44,50,1,1,1,,5,5,"0,4"
Getúlio Vargas,1,1,2,47,2,2,0,0,1,0,0,1,17,24,18,43,2,1,1,,7,5,"0,4"
Sananduva,1,1,2,52,2,2,0,1,0,0,0,1,6,34,40,40,1,1,1,,7,5,"0,4"
Chapada,1,1,2,31,2,1,0,1,1,0,0,1,2,9,40,36,2,1,1,,7,5,"0,4"
Passo Fundo,1,1,2,64,2,1,0,1,0,0,0,1,4,11,20,35,2,1,1,,6,5,"0,4"
Passo Fundo,1,3,2,51,2,1,0,0,1,0,0,,24,34,,27,1,1,1,,7,5,"0,4"
Ibiaçá,2,2,3,,2,2,0,1,0,0,0,1,23,23,20,27,1,1,1,,7,5,"0,4"
Getúlio Vargas,1,1,2,41,2,2,1,0,1,0,0,1,8,20,40,22,2,1,1,,7,5,"0,4"
Espumoso,1,1,2,53,2,2,0,1,0,0,0,3,4,32,20,21,1,1,1,,6,5,"0,4"
Estação,1,,,51,2,2,0,1,0,0,0,1,31,33,22,19,1,1,1,,6,5,"0,4"
Passo Fundo,1,1,1,33,2,2,1,0,0,0,0,1,5,8,30,16,1,1,1,,5,5,"0,4"
Taquaruçu do Sul,1,,,29,2,2,1,0,0,0,0,2,6,12,20,14,1,1,1,,7,5,"0,4"
Taquaruçu do Sul,1,,,42,2,2,1,0,0,0,0,2,"0,1",5,22,14,1,1,1,,7,5,"0,4"
Taquaruçu do Sul,1,,,31,2,2,1,0,0,0,0,1,6,,20,14,1,1,1,,7,5,"0,4"
Sananduva,1,1,2,37,2,2,0,0,1,0,0,1,9,13,20,13,2,1,1,,7,5,"0,4"
Passo Fundo,1,1,1,53,2,2,1,0,0,0,0,1,5,5,30,9,1,1,1,,6,5,"0,4"
Ibirubá,1,1,1,44,2,2,1,0,0,0,0,3,2,,44,4,2,1,1,,7,5,"0,4"
Erechim,1,1,2,48,2,1,1,0,0,0,0,1,13,14,40,137,1,1,1,,6,4,"0,4"
Passo Fundo,1,3,3,56,2,8,0,0,0,1,0,1,26,28,16,120,1,1,1,,7,4,"0,4"
Passo Fundo,1,3,4,35,2,2,1,0,0,0,0,1,7,15,21,64,1,1,1,,7,4,"0,4"
Passo Fundo,1,3,4,31,2,5,1,0,0,0,0,2,"0,2",5,"27,3",64,1,1,1,,7,4,"0,4"
Passo Fundo,1,3,4,25,1,1,0,1,1,1,0,2,4,2,32,64,1,1,2,30,6,4,"0,4"
Erechim,2,1,2,36,2,2,1,0,0,0,0,1,4,17,40,60,1,1,1,,6,4,"0,4"
Erechim,1,1,2,51,2,1,0,1,1,0,0,1,1,15,40,60,1,1,1,,7,4,"0,4"
Passo Fundo,2,3,4,33,2,6,1,0,1,0,0,1,1,6,14,56,1,1,2,4,5,4,"0,4"
Passo Fundo,1,3,4,24,2,2,1,0,0,0,0,1,3,5,20,56,1,1,1,,5,4,"0,4"
Passo Fundo,1,3,4,42,2,2,0,0,1,0,0,1,5,,20,56,1,1,2,45,7,4,"0,4"
Ibirubá,2,1,4,31,2,2,0,1,0,1,0,1,4,6,43,45,1,1,1,,6,4,"0,4"
Marau,1,1,2,52,2,2,0,1,0,0,0,1,13,17,40,42,1,1,1,,6,4,"0,4"
Ibirubá,,1,4,41,2,2,0,1,0,1,0,1,16,20,40,37,,1,1,,7,4,"0,4"
Chapada,1,1,2,51,2,1,1,1,1,0,0,1,15,28,40,36,2,1,1,,7,4,"0,4"
Passo Fundo,2,1,2,40,2,3,0,1,0,0,0,1,5,15,40,35,1,1,1,,6,4,"0,4"
Erechim,2,1,1,48,2,2,1,0,0,0,0,1,5,13,50,28,1,1,1,,7,4,"0,4"
Erechim,1,1,1,36,2,2,1,0,0,0,0,1,4,12,40,28,1,1,1,,6,4,"0,4"
Ibiaçá,2,2,3,48,2,2,0,0,1,0,0,1,15,29,22,27,1,1,1,,5,4,"0,4"
Passo Fundo,1,1,2,58,2,2,0,0,1,0,0,1,13,,20,25,1,1,1,,6,4,"0,4"
Tapejara,2,1,1,27,2,2,1,0,0,0,0,3,2,,30,21,1,1,1,,4,4,"0,4"
Passo Fundo,1,1,1,44,2,2,1,0,0,0,0,1,"0,08",26,30,20,1,1,1,,5,4,"0,4"
Passo Fundo,1,1,2,55,2,3,0,1,0,0,0,1,6,20,16,20,1,1,1,,6,4,"0,4"
Taquaruçu do Sul,1,1,2,52,1,2,0,1,0,0,0,1,5,30,20,17,1,1,1,,7,4,"0,4"
Passo Fundo,2,1,2,48,2,2,0,1,0,0,0,1,12,18,42,15,1,1,1,,6,4,"0,4"
Espumoso,1,1,1,30,2,1,1,0,0,0,0,1,8,10,40,15,,1,1,,6,4,"0,4"
Ibirubá,1,1,2,49,2,2,0,1,0,0,0,1,11,29,22,12,1,1,1,,6,4,"0,4"
Sananduva,1,1,2,37,2,2,0,1,1,0,0,1,14,19,40,12,1,1,1,,6,4,"0,4"
Selbach,1,1,1,34,2,2,1,0,0,0,0,1,"3,6","4,6",20,10,1,1,1,,6,4,"0,4"
Passo Fundo,1,1,1,58,2,2,1,1,0,0,0,1,1,31,12,9,2,1,1,,7,4,"0,4"
Erechim,2,1,2,68,2,1,0,1,0,0,0,1,15,49,20,50,1,1,1,,5,3,"0,4"
Ibirubá,1,1,2,38,2,2,0,1,0,0,0,1,1,11,18,49,1,1,1,,6,3,"0,4"
Passo Fundo,1,1,2,62,2,1,0,0,1,0,0,1,13,45,20,39,1,1,2,90,5,3,"0,4"
Passo Fundo,1,1,2,46,2,2,0,0,1,0,0,1,"0,4",27,20,27,1,1,1,,6,3,"0,4"
Ibirubá,1,1,2,39,2,2,0,0,1,0,0,1,9,9,20,25,1,1,2,30,7,3,"0,4"
Passo Fundo,2,1,1,29,2,6,1,0,0,0,0,1,7,,30,15,1,1,1,,4,3,"0,4"
Tapejara,1,1,2,29,2,1,0,0,1,0,0,3,4,2,20,54,1,1,1,,5,2,"0,4"
Erechim,1,1,2,41,2,7,0,1,0,0,0,1,5,10,10,137,1,1,1,,7,5,"0,6"
Passo Fundo,1,3,4,30,2,1,1,0,0,0,0,,9,6,44,64,1,1,1,,6,5,"0,6"
Ibirubá,2,1,4,54,2,2,0,1,1,1,0,1,17,20,20,47,1,1,1,,6,5,"0,6"
Tapejara,1,1,5,35,2,2,0,0,1,0,0,1,5,11,40,36,2,1,1,,7,5,"0,6"
Erechim,1,1,5,63,2,2,0,0,0,0,0,1,15,40,16,30,1,1,1,,6,5,"0,6"
Erechim,1,1,1,51,2,1,1,0,0,0,0,1,5,,40,28,1,1,1,,6,5,"0,6"
Ibiaçá,1,2,3,41,2,2,0,1,0,1,0,1,11,15,20,27,1,1,1,,7,5,"0,6"
Tapejara,1,1,5,23,2,1,1,0,1,0,0,1,2,2,20,25,1,1,1,,7,5,"0,6"
Ibirubá,1,2,2,51,2,1,0,1,0,0,0,1,31,31,,23,2,1,1,,7,5,"0,6"
Espumoso,2,1,2,52,2,2,0,1,0,0,0,2,"0,3",,10,21,1,1,1,,7,5,"0,6"
Passo Fundo,1,1,2,41,2,2,0,1,0,0,0,1,3,16,28,20,1,1,1,,6,5,"0,6"
Espumoso,1,1,2,37,2,2,0,0,1,0,0,3,"0,4",2,20,19,1,1,1,,6,5,"0,6"
Passo Fundo,1,1,1,26,2,7,1,0,0,0,0,1,2,10,30,15,1,1,1,,5,5,"0,6"
Passo Fundo,1,1,1,26,2,2,1,0,0,0,0,1,5,10,30,14,1,1,1,,6,5,"0,6"
Espumoso,1,1,2,53,2,1,1,0,0,0,0,1,1,27,20,9,1,1,1,,7,5,"0,6"
Passo Fundo,1,1,1,40,2,2,1,0,0,0,0,1,10,20,40,9,2,1,1,,6,5,"0,6"
Erechim,1,1,2,33,2,6,1,0,0,0,0,1,2,4,20,60,1,1,1,,7,4,"0,6"
Passo Fundo,1,3,4,48,2,3,0,1,0,1,0,1,1,22,31,56,2,1,1,,7,4,"0,6"
Chapada,1,2,3,40,2,2,0,1,0,1,0,1,14,15,40,54,2,1,1,,6,4,"0,6"
Ibirubá,1,1,4,46,2,2,0,0,0,1,0,1,15,20,40,40,1,1,1,,5,4,"0,6"
Tapejara,1,1,2,26,2,1,1,0,0,0,0,2,"0,1",3,40,40,1,1,1,,5,4,"0,6"
Tapejara,2,1,2,31,1,2,1,1,1,0,0,1,"1,5",6,40,37,1,1,1,,6,4,"0,6"
Chapada,1,1,2,42,2,2,0,1,1,0,0,1,16,16,8,36,2,1,1,,7,4,"0,6"
Getúlio Vargas,2,1,1,34,2,2,1,0,1,0,0,1,10,12,20,33,1,1,2,30,6,4,"0,6"
Espumoso,1,1,2,42,2,2,0,0,1,0,0,1,5,18,20,30,1,1,1,,7,4,"0,6"
Erechim,1,1,1,39,2,2,1,0,0,0,0,1,4,23,20,23,2,1,1,,5,4,"0,6"
Erechim,1,1,1,36,2,1,0,0,0,0,0,1,12,14,8,22,2,1,2,90,5,4,"0,6"
Tapera,1,1,2,34,2,2,1,1,0,0,0,1,11,15,44,21,2,1,2,14,6,4,"0,6"
Espumoso,2,1,2,34,2,2,0,1,0,0,0,1,9,9,20,19,1,1,1,,6,4,"0,6"
Erechim,1,1,1,31,2,2,1,0,0,0,0,1,6,14,40,18,2,1,1,,7,4,"0,6"
