Ano;Munic;Munícipio;Escolcod;NomeEscola;Indiv;Populacao;PIB;IDHM;PIBPer;INVperc;Turma;Alunos;Professores;Investimento;TAMesc;Numero_escolas_trabalha;Tipo_escola;Niveis_escola;Idade;Formação;Contrato;Tempo_Escola;Tempo_profissão;Hrs_semanais;Supervisiona;Licença_2semanas;Licença_ano;ISP;CACF;VSP;ARE;DED;ARS;AED;Engage;Exaust;Cynism
0,00;3;Espumoso;1;APAE;170;15588;38379,69;0,765;2,46;3892,94;999;999;999;60683140,59;999,00;999;999;999;61;2;1;22;23;20;1;1;1;6,33;6,50;4,00;4,40;3,60;3,00;3,60;5,33;1,20;0,00
1,00;3;Espumoso;1;APAE;170;15588;38379,69;0,765;2,46;3892,94;999;999;999;60683140,59;999,00;999;1;4;62;1;1;22;24;40;1;1;1;6,67;6,00;6,00;5,00;5,00;3,60;4,00;4,78;3,40;3,40
0,00;12;Tapejara;2;Casa da Criança ISabel B;812;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;2;1;1;23;5;1;4;7;50;1;1;1;6,50;7,00;7,00;5,00;3,00;4,60;4,60;5,56;2,20;1,20
0,00;12;Tapejara;2;Casa da Criança ISabel B;813;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;56;999;1;23;23;30;1;1;1;5,50;6,50;6,33;3,80;4,00;3,60;3,80;5,22;2,20;2,00
0,00;12;Tapejara;2;Casa da Criança ISabel B;814;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;37;5;2;3;13;30;1;1;1;5,17;6,00;5,33;4,40;2,20;4,20;3,40;5,78;2,40;1,20
0,00;12;Tapejara;2;Casa da Criança ISabel B;815;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;45;999;1;26;26;30;1;1;999;5,67;5,50;4,00;4,00;3,80;3,60;3,60;5,44;5,20;0,60
0,00;12;Tapejara;2;Casa da Criança ISabel B;816;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;54;999;1;23;23;30;1;1;2;5,67;6,00;6,00;3,80;3,40;2,50;3,60;5,56;2,00;0,50
0,00;12;Tapejara;2;Casa da Criança ISabel B;817;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;49;1;4;1;25;999;1;1;1;5,50;6,00;6,33;3,40;2,20;2,20;2,40;3,50;0,80;1,60
0,00;12;Tapejara;2;Casa da Criança ISabel B;818;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;65;2;1;23;999;30;1;1;1;5,67;6,50;6,33;4,00;2,00;3,40;3,60;6,00;0,20;0,00
0,00;12;Tapejara;2;Casa da Criança ISabel B;819;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;38;1;1;5;7;30;1;1;1;6,00;6,00;5,00;4,60;2,20;2,80;3,20;5,33;2,25;0,60
1,00;12;Tapejara;2;Casa da Criança ISabel B;812;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;2;1;1;24;6;1;5;8;30;1;1;1;6,00;7,00;6,67;4,20;1,80;4,00;3,80;4,78;3,75;1,20
1,00;12;Tapejara;2;Casa da Criança ISabel B;813;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;57;2;1;30;30;30;1;1;1;5,00;5,00;5,00;4,00;4,00;3,40;3,20;3,78;4,20;0,60
1,00;12;Tapejara;2;Casa da Criança ISabel B;814;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;38;5;2;4;6;30;1;1;2;5,83;6,00;5,00;5,00;3,20;3,60;4,80;5,44;3,00;1,40
1,00;12;Tapejara;2;Casa da Criança ISabel B;815;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;47;2;1;27;27;30;1;1;1;6,17;5,50;5,33;3,80;3,60;3,20;3,80;5,44;3,40;0,60
1,00;12;Tapejara;2;Casa da Criança ISabel B;816;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;55;2;1;25;25;30;1;1;1;6,00;6,50;6,00;4,50;4,20;2,60;4,00;5,67;2,20;0,80
1,00;12;Tapejara;2;Casa da Criança ISabel B;817;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;50;1;2;2;20;40;2;1;1;6,00;6,50;7,00;4,20;4,00;3,80;3,00;5,11;1,80;1,40
1,00;12;Tapejara;2;Casa da Criança ISabel B;818;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;66;2;1;25;25;30;1;1;1;5,83;6,00;5,00;3,80;1,20;2,80;4,00;6,00;0,20;0,00
1,00;12;Tapejara;2;Casa da Criança ISabel B;819;24111;34946,93;0,760;1,45;3337,30;6;75;13;80465628,82;1,06;1;1;1;39;1;1;6;999;30;1;1;1;6,17;7,00;6,00;4,20;2,60;2,80;3,60;5,44;2,00;0,40
0,00;2;Erechim;3;CEJA;9;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;3;34;2;1;2;15;20;1;1;1;5,00;5,00;3,00;4,00;3,20;3,80;4,00;5,89;2,40;0,20
0,00;2;Erechim;3;CEJA;10;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;3;53;2;1;8;23;30;1;1;1;6,00;7,00;5,33;4,20;3,20;3,00;3,60;2,44;5,20;1,40
0,00;2;Erechim;3;CEJA;11;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;3;37;2;1;7;17;20;1;1;1;6,50;6,00;6,00;4,60;2,60;3,00;3,20;5,33;4,20;0,80
0,00;2;Erechim;3;CEJA;12;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;3;37;2;1;7;15;20;1;1;2;5,50;4,50;3,67;3,40;2,20;3,00;2,80;4,89;5,60;1,20
0,00;2;Erechim;3;CEJA;13;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;3;61;1;1;7;22;20;1;1;1;5,17;5,50;5,33;3,60;3,00;3,20;3,20;5,00;2,60;0,40
0,00;2;Erechim;3;CEJA;14;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;2;1;3;33;7;1;2;999;20;1;1;1;5,83;7,00;7,00;4,40;3,40;4,80;4,60;6,00;2,00;0,40
0,00;2;Erechim;3;CEJA;15;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;3;46;2;1;8;19;20;2;1;1;6,20;6,50;5,33;4,20;3,40;4,00;4,40;5,89;1,80;0,00
0,00;2;Erechim;3;CEJA;16;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;2;1;3;26;6;2;2;6;16;1;1;2;5,50;6,00;4,33;4,60;2,40;4,40;3,80;5,00;2,80;0,60
0,00;2;Erechim;3;CEJA;17;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;2;1;3;32;3;1;2;10;20;1;1;1;6,17;6,00;5,00;4,60;3,60;4,40;4,60;5,33;0,60;0,00
1,00;2;Erechim;3;CEJA;9;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;2;35;2;1;3;16;20;1;2;1;6,33;6,50;5,33;3,60;2,00;3,60;3,80;5,56;1,40;0,40
1,00;2;Erechim;3;CEJA;10;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;2;44;2;1;9;24;24;1;1;1;4,83;4,50;4,67;4,20;3,60;2,20;3,00;2,67;5,20;2,40
1,00;2;Erechim;3;CEJA;11;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;2;38;2;1;8;18;15;1;1;1;5,83;5,50;5,00;4,20;2,80;2,40;3,80;5,11;5,00;0,80
1,00;2;Erechim;3;CEJA;12;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;2;38;2;1;8;15;40;1;1;1;5,67;5,50;4,33;3,80;2,40;3,00;3,40;4,44;4,80;1,00
1,00;2;Erechim;3;CEJA;13;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;2;62;1;1;8;20;20;1;1;1;6,67;6,00;5,67;3,20;3,00;3,00;3,20;3,67;3,00;1,00
1,00;2;Erechim;3;CEJA;14;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;2;1;2;34;7;1;3;15;20;1;1;1;7,00;7,00;7,00;4,20;2,50;3,20;3,80;5,78;2,00;0,20
1,00;2;Erechim;3;CEJA;15;105862;41645,09;0,776;0,39;2861,34;11;303;10;302907244,07;1,86;1;1;2;47;2;1;9;27;40;2;1;1;7,00;7,00;5,67;4,40;2,40;4,60;4,40;5,89;1,80;0,00
