Idade,Formação,Tempo_Escola,Tempo_profissão,Hrs_semanais,Supervisiona,Licença_2semanas,Licença_ano,MPS,IPPS,IOPS,ISP,CAFC,VSP,ARE,DED,ARS,AED,Engagement,Exaustao,Cinismo,SCV,Saude,TAMesc,Burnout_E
38.0,2.0,5.0,13.0,40.0,1.0,1.0,1.0,7.0,6.67,7.0,6.33,6.0,5.67,4.0,3.8,3.4,3.6,5.78,2.2,0.0,5.8,3.75,5.269999999999998,False
53.0,1.0,9.0,15.0,20.0,2.0,1.0,1.0,6.25,6.0,6.0,6.0,6.0,6.0,4.0,2.8,3.2,4.0,6.0,1.4,1.0,6.0,4.0,5.269999999999998,False
52.0,2.0,17.0,25.0,20.0,1.0,1.0,2.0,7.0,6.0,4.33,6.33,6.5,6.0,4.4,3.0,2.8,4.0,5.22,5.0,1.4,4.4,4.0,5.269999999999998,True
40.0,2.0,1.0,18.0,20.0,1.0,1.0,1.0,6.67,6.0,6.0,6.0,5.5,5.0,4.2,2.8,3.4,3.2,5.38,3.8,0.4,6.0,5.0,5.269999999999998,True
42.0,1.0,2.0,18.0,20.0,1.0,1.0,3.0,6.08,5.33,4.33,4.5,5.0,3.0,3.8,3.6,2.4,2.8,2.44,5.0,2.2,3.8,1.25,5.269999999999998,True
22.0,1.0,3.0,3.0,40.0,1.0,1.0,1.0,7.0,7.0,7.0,6.17,5.0,5.0,3.4,2.6,3.2,3.8,5.0,2.2,0.2,5.0,3.0,5.269999999999998,False
33.0,2.0,5.0,3.0,40.0,1.0,1.0,1.0,7.0,6.67,7.0,6.33,7.0,2.33,4.0,2.2,3.6,4.2,5.44,2.8,0.2,6.4,4.75,5.269999999999998,False
37.0,1.0,0.41,11.0,16.0,2.0,1.0,1.0,6.58,6.33,5.0,5.0,5.0,5.0,3.6,3.2,3.0,3.0,4.44,4.4,4.2,6.0,4.0,5.269999999999998,True
45.0,1.0,6.0,25.0,20.0,1.0,1.0,1.0,7.0,6.33,4.33,6.17,6.5,5.33,3.8,3.8,4.0,3.8,5.22,1.2,0.4,5.8,4.25,5.269999999999998,False
53.0,1.0,20.0,30.0,50.0,2.0,1.0,1.0,7.0,7.0,6.0,6.5,7.0,7.0,4.4,2.2,4.8,5.0,6.0,0.2,0.0,7.0,4.0,5.269999999999998,False
