,Idx,Código,Município,Escola_resp_Quest,Idade,Formação,Tempo_Escola,Tempo_profissão,Hrs_semanais,Numero_professores,Supervisiona,Licença_2semanas,Licença_ano,trab1,trab2,trab3,trab4,trab5,trab6,trab7,trab8,trab9,trab10,trab11,trab12,trab13,trab14,trab15,trab16,trab17,trab18,trab19,trab20,trab21,trab22,trab23,trab24,trab25,trab26,trab27,trab28,trab29,trab30,trab31,trab32,atitrab1,atitrab2,atitrab3,atitrab4,atitrab5,atitrab6,atitrab7,atitrab8,atitrab9,atitrab10,atitrab11,atitrab12,atitrab13,atitrab14,atitrab15,atitrab16,atitrab17,atitrab18,atitrab19,atitrab20,be1,be2,be3,be4,be5,be6,be7,be8,be9,be10,be11,be12,be13,be14,be15,be16,be17,be18,be19,bes1,bes2,bes3,bes4,bes5,saude1,saude2,saude3,saude4,MPS,IPPS,IOPS,ISP,CAFC,VSP,ARE,DED,ARS,AED,Engagement,Exaustao,Cinismo,SCV,Saude,Escolcod,NomeEscola,Munic,Indiv,Populacao,PIB,IDHM,PIBPer,INVperc,Turma,Alunos,Professores,Investimento,TAMesc
0,4005,IRIV709,Chapada,E.M.E.F Erico Ver,38.0,2.0,5.0,13.0,40.0,36.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,6.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,6.0,6.0,4.0,4.0,3.0,4.0,7.0,6.67,7.0,6.33,6.0,5.67,4.0,3.8,3.4,3.6,5.78,2.2,0.0,5.8,3.75,47.0,E.M.E.F. Érico Ve,1.0,4.5,9269.0,40999.96999999999,0.7569999999999998,4.420000000000001,4620.68,36.0,404.0,54.0,42829084.87,5.269999999999998
1,4006,VIJO168,Chapada,E.M.E.F Erico Ver,53.0,1.0,9.0,15.0,20.0,36.0,2.0,1.0,1.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,2.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,6.25,6.0,6.0,6.0,6.0,6.0,4.0,2.8,3.2,4.0,6.0,1.4,1.0,6.0,4.0,47.0,E.M.E.F. Érico Ve,1.0,4.5,9269.0,40999.96999999999,0.7569999999999998,4.420000000000001,4620.68,36.0,404.0,54.0,42829084.87,5.269999999999998
2,4007,ADAR752,Chapada,E.M.E.F Erico Ver,52.0,2.0,17.0,25.0,20.0,36.0,1.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,4.0,5.0,4.0,7.0,7.0,7.0,5.0,6.0,6.0,1.0,3.0,4.0,7.0,6.0,6.0,6.0,6.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,,3.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,7.0,6.0,4.33,6.33,6.5,6.0,4.4,3.0,2.8,4.0,5.22,5.0,1.4,4.4,4.0,47.0,E.M.E.F. Érico Ve,1.0,4.5,9269.0,40999.96999999999,0.7569999999999998,4.420000000000001,4620.68,36.0,404.0,54.0,42829084.87,5.269999999999998
3,4008,ELOR921,Chapada,E.M.E.F Erico Ver,40.0,2.0,1.0,18.0,20.0,36.0,1.0,1.0,1.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,1.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,6.0,6.0,6.0,5.0,5.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.67,6.0,6.0,6.0,5.5,5.0,4.2,2.8,3.4,3.2,5.38,3.8,0.4,6.0,5.0,47.0,E.M.E.F. Érico Ve,1.0,4.5,9269.0,40999.96999999999,0.7569999999999998,4.420000000000001,4620.68,36.0,404.0,54.0,42829084.87,5.269999999999998
4,4009,MAEL162,Chapada,E.M.E.F Erico Ver,42.0,1.0,2.0,18.0,20.0,36.0,1.0,1.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,6.0,4.0,5.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,1.0,1.0,2.0,1.0,6.08,5.33,4.33,4.5,5.0,3.0,3.8,3.6,2.4,2.8,2.44,5.0,2.2,3.8,1.25,47.0,E.M.E.F. Érico Ve,1.0,4.5,9269.0,40999.96999999999,0.7569999999999998,4.420000000000001,4620.68,36.0,404.0,54.0,42829084.87,5.269999999999998
5,4010,LEOL843,Chapada,E.M.E.F Erico Ver,22.0,1.0,3.0,3.0,40.0,36.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,6.17,5.0,5.0,3.4,2.6,3.2,3.8,5.0,2.2,0.2,5.0,3.0,47.0,E.M.E.F. Érico Ve,1.0,4.5,9269.0,40999.96999999999,0.7569999999999998,4.420000000000001,4620.68,36.0,404.0,54.0,42829084.87,5.269999999999998
6,4011,REAR534,Chapada,E.M.E.F Erico Ver,33.0,2.0,5.0,3.0,40.0,36.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,1.0,6.0,7.0,7.0,1.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,1.0,3.0,4.0,3.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,7.0,7.0,6.0,5.0,5.0,5.0,4.0,7.0,6.67,7.0,6.33,7.0,2.33,4.0,2.2,3.6,4.2,5.44,2.8,0.2,6.4,4.75,47.0,E.M.E.F. Érico Ve,1.0,4.5,9269.0,40999.96999999999,0.7569999999999998,4.420000000000001,4620.68,36.0,404.0,54.0,42829084.87,5.269999999999998
7,4012,ILIV196,Chapada,E.M.E.F Erico Ver,37.0,1.0,0.41,11.0,16.0,36.0,2.0,1.0,1.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,6.58,6.33,5.0,5.0,5.0,5.0,3.6,3.2,3.0,3.0,4.44,4.4,4.2,6.0,4.0,47.0,E.M.E.F. Érico Ve,1.0,4.5,9269.0,40999.96999999999,0.7569999999999998,4.420000000000001,4620.68,36.0,404.0,54.0,42829084.87,5.269999999999998
8,4013,EMOD136,Chapada,E.M.E.F Erico Ver,45.0,1.0,6.0,25.0,20.0,36.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,2.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,1.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0,4.0,5.0,7.0,6.33,4.33,6.17,6.5,5.33,3.8,3.8,4.0,3.8,5.22,1.2,0.4,5.8,4.25,47.0,E.M.E.F. Érico Ve,1.0,4.5,9269.0,40999.96999999999,0.7569999999999998,4.420000000000001,4620.68,36.0,404.0,54.0,42829084.87,5.269999999999998
9,4014,NEAR171,Chapada,E.M.E.F Erico Ver,53.0,1.0,20.0,30.0,50.0,36.0,2.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,7.0,7.0,6.0,6.5,7.0,7.0,4.4,2.2,4.8,5.0,6.0,0.2,0.0,7.0,4.0,47.0,E.M.E.F. Érico Ve,1.0,4.5,9269.0,40999.96999999999,0.7569999999999998,4.420000000000001,4620.68,36.0,404.0,54.0,42829084.87,5.269999999999998
